1,oval-shaped face, thin neck, rosy skin, black crew-cut hair, green wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, narrow chin, angular jaw, woman, middle-aged, round glasses, goatee
142,rectangular face, short neck, olive skin, brown short hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed large detached ears, narrow chin, narrow jaw, woman, very old, no glasses, sideburns
143,rectangular face, fat neck, olive skin, gray curly hair, black upturned eyes, bushy black eyebrows, medium eyelashes, full pink lips, round big nose, round small attached ears, wide chin, angular jaw, man, very old, no glasses, mustache
144,rectangular face, short neck, ruddy skin, gray crew-cut hair, brown upturned eyes, normal black eyebrows, medium eyelashes, full pink lips, upturned small nose, pointed small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, 3 days beard
145,rectangular face, short neck, olive skin, gray long hair, brown wide-set eyes, normal brown eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, pointed chin, angular jaw, boy, child, no glasses, goatee
146,rectangular face, fat neck, light skin, blond dreadlocks hair, red close-set eyes, bushy blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, wide chin, angular jaw, boy, young, sun-glasses, sideburns
147,rectangular face, thin neck, ruddy skin, gray crew-cut hair, black upturned eyes, normal black eyebrows, short eyelashes, full pink lips, high small nose, round large detached ears, chiselled chin, strong jaw, man, middle-aged, no glasses, goatee
148,rectangular face, fat neck, ruddy skin, black crew-cut hair, brown upturned eyes, normal black eyebrows, medium eyelashes, full red lips, round small nose, round large detached ears, wide chin, angular jaw, man, very old, no glasses, 3 days beard
149,rectangular face, fat neck, light skin, black ponytail hair, brown wide-set eyes, normal black eyebrows, medium eyelashes, full pink lips, high big nose, pointed large attached ears, wide chin, angular jaw, woman, very old, no glasses, sideburns
150,oval-shaped face, short neck, pink skin, black long hair, green wide-set eyes, normal black eyebrows, medium eyelashes, heart-shaped pink lips, round small nose, round small attached ears, pointed chin, narrow jaw, man, middle-aged, no glasses, goatee
151,oval-shaped face, short neck, olive skin, black long hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, narrow jaw, girl, child, no glasses, sideburns
152,rectangular face, short neck, olive skin, black side-parting hair, brown wide-set eyes, normal black eyebrows, medium eyelashes, thin red lips, round small nose, round small attached ears, narrow chin, angular jaw, woman, young, no glasses, sideburns
153,rectangular face, short neck, olive skin, black crew-cut hair, brown close-set eyes, normal white eyebrows, medium eyelashes, full pink lips, round small nose, round large detached ears, wide chin, angular jaw, boy, young, no glasses, 3 days beard
154,rectangular face, short neck, ruddy skin, black crew-cut hair, black wide-set eyes, normal white eyebrows, short eyelashes, full pink lips, round small nose, round large attached ears, chiselled chin, chiselled jaw, boy, young, no glasses, no beard
155,oval-shaped face, short neck, brown skin, white dreadlocks hair, brown wide-set eyes, thin black eyebrows, medium eyelashes, thin pink lips, long small nose, round small attached ears, narrow chin, angular jaw, boy, very young, no glasses, goatee
156,rectangular face, long neck, brown skin, black crew-cut hair, gray round eyes, thin black eyebrows, long eyelashes, full pink lips, round small nose, pointed small attached ears, square chin, angular jaw, boy, child, no glasses, no beard
157,rectangular face, short neck, rosy skin, brown curly hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, girl, child, no glasses, sideburns
158,rectangular face, short neck, rosy skin, white ponytail hair, brown wide-set eyes, thin blond eyebrows, short eyelashes, thin pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, girl, child, no glasses, sideburns
159,rectangular face, short neck, rosy skin, white curly hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, girl, child, no glasses, sideburns
160,rectangular face, short neck, rosy skin, red short hair, brown close-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, round large attached ears, wide chin, wide jaw, woman, young, no glasses, mustache
161,oval-shaped face, short neck, rosy skin, blond dreadlocks hair, gray round eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, square chin, wide jaw, girl, very young, oval glasses, sideburns
162,rectangular face, short neck, rosy skin, blond crew-cut hair, blue wide-set eyes, normal blond eyebrows, short eyelashes, full pink lips, round small nose, pointed small attached ears, pointed chin, narrow jaw, boy, child, no glasses, goatee
163,rectangular face, short neck, rosy skin, brown long hair, brown round eyes, normal white eyebrows, medium eyelashes, full pink lips, round small nose, round small detached ears, narrow chin, angular jaw, girl, young, oval glasses, mustache
164,rectangular face, short neck, ruddy skin, blue crew-cut hair, blue round eyes, normal blue eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, square chin, angular jaw, boy, young, round glasses, no beard
165,rectangular face, short neck, olive skin, brown crew-cut hair, brown wide-set eyes, normal brown eyebrows, short eyelashes, full pink lips, round small nose, pointed small attached ears, chiselled chin, strong jaw, woman, child, no glasses, sideburns
166,rectangular face, short neck, olive skin, brown long hair, brown close-set eyes, normal blond eyebrows, medium eyelashes, full red lips, round small nose, round large attached ears, round chin, wide jaw, woman, very old, no glasses, beard
167,oval-shaped face, short neck, olive skin, black side-parting hair, black wide-set eyes, normal black eyebrows, medium eyelashes, full red lips, round small nose, pointed large detached ears, narrow chin, strong jaw, woman, young, no glasses, beard
168,oval-shaped face, short neck, olive skin, blond side-parting hair, green wide-set eyes, normal blond eyebrows, medium eyelashes, full red lips, round small nose, pointed small attached ears, pointed chin, angular jaw, boy, child, round glasses, sideburns
169,rectangular face, short neck, rosy skin, blond side-parting hair, blue wide-set eyes, thin blond eyebrows, short eyelashes, full pink lips, high small nose, round small attached ears, pointed chin, angular jaw, boy, child, no glasses, sideburns
170,rectangular face, short neck, light skin, black crew-cut hair, green upturned eyes, thin black eyebrows, short eyelashes, full pink lips, upturned small nose, pointed small detached ears, chiselled chin, chiselled jaw, boy, very old, no glasses, goatee
171,rectangular face, short neck, rosy skin, brown dreadlocks hair, brown round eyes, normal white eyebrows, medium eyelashes, full red lips, round small nose, round small attached ears, square chin, wide jaw, girl, young, oval glasses, mustache
172,rectangular face, short neck, rosy skin, blond crew-cut hair, blue wide-set eyes, normal blond eyebrows, short eyelashes, full pink lips, round small nose, round small attached ears, pointed chin, narrow jaw, boy, child, no glasses, no beard
173,rectangular face, fat neck, olive skin, gray side-parting hair, gray round eyes, normal black eyebrows, medium eyelashes, full red lips, round small nose, round small detached ears, round chin, wide jaw, woman, middle-aged, no glasses, sideburns
174,rectangular face, short neck, rosy skin, blond long hair, gray wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, girl, very young, no glasses, sideburns
175,oval-shaped face, thick neck, light skin, black crew-cut hair, brown wide-set eyes, normal brown eyebrows, medium eyelashes, full pink lips, high small nose, pointed large detached ears, chiselled chin, strong jaw, woman, middle-aged, no glasses, unshaven
176,rectangular face, short neck, ruddy skin, black crew-cut hair, brown round eyes, normal white eyebrows, medium eyelashes, full pink lips, round small nose, round small detached ears, square chin, angular jaw, boy, young, round glasses, no beard
177,rectangular face, short neck, rosy skin, blond crew-cut hair, brown wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, pointed small attached ears, narrow chin, angular jaw, girl, child, round glasses, sideburns
178,rectangular face, fat neck, ruddy skin, red side-parting hair, black upturned eyes, normal red eyebrows, short eyelashes, full red lips, bumpy big nose, pointed small attached ears, wide chin, wide jaw, woman, very old, oval glasses, sideburns
179,rectangular face, long neck, pale skin, gray crew-cut hair, gray deep-set eyes, thin gray eyebrows, short eyelashes, thin pink lips, round big nose, round small detached ears, square chin, strong jaw, boy, very young, round glasses, sideburns
180,rectangular face, long neck, brown skin, blue side-parting hair, green wide-set eyes, thin black eyebrows, short eyelashes, full pink lips, long small nose, pointed small attached ears, narrow chin, wide jaw, boy, very young, no glasses, sideburns
181,rectangular face, short neck, brown skin, black dreadlocks hair, black close-set eyes, normal black eyebrows, medium eyelashes, full pink lips, high small nose, round large attached ears, narrow chin, sharp jaw, man, very old, no glasses, goatee
182,rectangular face, short neck, rosy skin, blond side-parting hair, black round eyes, normal black eyebrows, medium eyelashes, full red lips, high small nose, round large detached ears, narrow chin, angular jaw, woman, middle-aged, no glasses, sideburns
183,rectangular face, short neck, rosy skin, blond crew-cut hair, blue wide-set eyes, thin blond eyebrows, long eyelashes, thin pink lips, round small nose, round small attached ears, pointed chin, sharp jaw, boy, very young, no glasses, no beard
184,rectangular face, short neck, rosy skin, blond curly hair, blue wide-set eyes, normal blond eyebrows, medium eyelashes, full pink lips, round small nose, round small attached ears, pointed chin, angular jaw, woman, child, no glasses, sideburns
185,rectangular face, short neck, light skin, gray crew-cut hair, gray wide-set eyes, normal black eyebrows, medium eyelashes, full pink lips, round small nose, round small attached ears, chiselled chin, sharp jaw, man, middle-aged, no glasses, no beard
186,rectangular face, short neck, ruddy skin, blond side-parting hair, blue wide-set eyes, thin blond eyebrows, medium eyelashes, full pink lips, upturned small nose, pointed small attached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, goatee
187,rectangular face, thin neck, ruddy skin, gray crew-cut hair, green wide-set eyes, normal white eyebrows, medium eyelashes, full pink lips, long big nose, round large attached ears, chiselled chin, wide jaw, man, middle-aged, no glasses, no beard
188,rectangular face, short neck, ruddy skin, black crew-cut hair, brown wide-set eyes, normal black eyebrows, medium eyelashes, full red lips, round big nose, round large attached ears, narrow chin, strong jaw, woman, very old, no glasses, sideburns
189,rectangular face, short neck, rosy skin, blond side-parting hair, blue wide-set eyes, normal blond eyebrows, short eyelashes, full red lips, round small nose, pointed large attached ears, narrow chin, strong jaw, woman, very young, no glasses, sideburns
190,oval-shaped face, thin neck, rosy skin, brown side-parting hair, gray wide-set eyes, thin black eyebrows, short eyelashes, full red lips, winged small nose, pointed small attached ears, chiselled chin, angular jaw, woman, very old, no glasses, goatee
191,rectangular face, thin neck, rosy skin, brown side-parting hair, blue wide-set eyes, thin blond eyebrows, short eyelashes, thin pink lips, round small nose, pointed small attached ears, pointed chin, angular jaw, girl, very young, no glasses, sideburns
192,rectangular face, short neck, ruddy skin, gray side-parting hair, green wide-set eyes, bushy brown eyebrows, short eyelashes, full red lips, long big nose, pointed large attached ears, chiselled chin, wide jaw, man, very old, no glasses, sideburns
193,rectangular face, thin neck, pale skin, gray bald hair, green wide-set eyes, thin white eyebrows, short eyelashes, full pink lips, high small nose, round large detached ears, chiselled chin, wide jaw, man, middle-aged, no glasses, unshaven
194,rectangular face, short neck, ruddy skin, white centre parting hair, green wide-set eyes, normal white eyebrows, long eyelashes, full pink lips, round big nose, round large detached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, no beard
195,rectangular face, short neck, ruddy skin, gray crew-cut hair, black wide-set eyes, normal gray eyebrows, medium eyelashes, full red lips, round small nose, round large attached ears, wide chin, angular jaw, man, middle-aged, no glasses, unshaven
196,rectangular face, short neck, pink skin, blue crew-cut hair, green wide-set eyes, normal blue eyebrows, short eyelashes, full pink lips, round small nose, pointed small attached ears, pointed chin, strong jaw, woman, middle-aged, round glasses, sideburns
197,rectangular face, thin neck, light skin, gray bald hair, black wide-set eyes, thin black eyebrows, short eyelashes, full pink lips, high big nose, round small detached ears, chiselled chin, angular jaw, man, middle-aged, no glasses, no beard
198,rectangular face, thin neck, olive skin, gray bald hair, green wide-set eyes, normal red eyebrows, short eyelashes, full pink lips, round big nose, round large attached ears, chiselled chin, strong jaw, man, middle-aged, no glasses, sideburns
199,rectangular face, short neck, olive skin, brown wavy hair, brown wide-set eyes, normal brown eyebrows, short eyelashes, full red lips, round big nose, pointed large attached ears, narrow chin, strong jaw, woman, middle-aged, oval glasses, sideburns
200,rectangular face, short neck, ruddy skin, gray centre parting hair, gray wide-set eyes, thin white eyebrows, long eyelashes, full red lips, upturned big nose, pointed large attached ears, chiselled chin, wide jaw, man, very old, no glasses, no beard
